"Key","Enabled","Is Group","Parent SAT Product or Service Key","Key Name","Description"
"10321900",1,1,"","10321900 - ajenjo cortado fresco","ajenjo cortado fresco"
"10322000",1,1,"","10322000 - Flor de alcachofa cortada fresca","Flor de alcachofa cortada fresca"
"10322100",1,1,"","10322100 - Astrantia cortada fresca","Astrantia cortada fresca"
"10322200",1,1,"","10322200 - Flor de banano cortada fresca","Flor de banano cortada fresca"
"10322300",1,1,"","10322300 - Baptisia cortada fresca","Baptisia cortada fresca"
"10322400",1,1,"","10322400 - Boronia cortada fresca","Boronia cortada fresca"
"10322500",1,1,"","10322500 - Bromelia cortada fresca","Bromelia cortada fresca"
"10322600",1,1,"","10322600 - Brunia cortada fresca","Brunia cortada fresca"
"10322700",1,1,"","10322700 - Catalea cortada fresca","Catalea cortada fresca"
"10322800",1,1,"","10322800 - Calcynia cortada fresca","Calcynia cortada fresca"
"10322900",1,1,"","10322900 - Caléndula cortada fresca","Caléndula cortada fresca"
"10323000",1,1,"","10323000 - Campanilla cortada fresca","Campanilla cortada fresca"
"10323100",1,1,"","10323100 - Cestrum cortado fresco","Cestrum cortado fresco"
"10323200",1,1,"","10323200 - Chasmante cortada fresca","Chasmante cortada fresca"
"10323300",1,1,"","10323300 - Costus cortada fresca","Costus cortada fresca"
"10323400",1,1,"","10323400 - Vara de San José cortada fresca","Vara de San José cortada fresca"
"10323500",1,1,"","10323500 - Lirio del Fuego cortado fresco","Lirio del Fuego cortado fresco"
"10323600",1,1,"","10323600 - Flor del muelle cortada fresca","Flor del muelle cortada fresca"
"10323700",1,1,"","10323700 - Planta erizo cortada fresca","Planta erizo cortada fresca"
"10323800",1,1,"","10323800 - Manzanilla cortada fresca","Manzanilla cortada fresca"
"10323900",1,1,"","10323900 - Nomeolvides cortada fresca","Nomeolvides cortada fresca"
"10324000",1,1,"","10324000 - Gallardia cortada fresca","Gallardia cortada fresca"
"10324100",1,1,"","10324100 - Genciana cortada fresca","Genciana cortada fresca"
"10324200",1,1,"","10324200 - Gladiolo cortado fresco","Gladiolo cortado fresco"
"10324300",1,1,"","10324300 - Gloriosa cortada fresca","Gloriosa cortada fresca"
"10324400",1,1,"","10324400 - Violeta silvestre cortada fresca","Violeta silvestre cortada fresca"
"10324500",1,1,"","10324500 - Eléboro cortado fresco","Eléboro cortado fresco"
"10324600",1,1,"","10324600 - Ixia cortada fresca","Ixia cortada fresca"
"10324700",1,1,"","10324700 - Liatrises cortadas frescas","Liatrises cortadas frescas"
"10324800",1,1,"","10324800 - Lysimachia cortada fresca","Lysimachia cortada fresca"
"10324900",1,1,"","10324900 - Maraca cortada fresca","Maraca cortada fresca"
"10325000",1,1,"","10325000 - Caléndula cortada fresca","Caléndula cortada fresca"
"10325100",1,1,"","10325100 - Mimosa cortada fresca","Mimosa cortada fresca"
"10325200",1,1,"","10325200 - Nerina cortada fresca","Nerina cortada fresca"
"10325300",1,1,"","10325300 - Flor de nogal cortada fresca","Flor de nogal cortada fresca"
"10325400",1,1,"","10325400 - Phlox cortada fresca","Phlox cortada fresca"
"10325500",1,1,"","10325500 - physostegia cortada fresca","physostegia cortada fresca"
"10325600",1,1,"","10325600 - Saponaria cortada fresca","Saponaria cortada fresca"
"10325700",1,1,"","10325700 - Sarracenias cortadas frescas","Sarracenias cortadas frescas"
"10325800",1,1,"","10325800 - Sicilia cortada fresca","Sicilia cortada fresca"
"10325900",1,1,"","10325900 - Sedum cortada fresca","Sedum cortada fresca"
"10326000",1,1,"","10326000 - Especies individuales o variedades de flores cortadas frescas","Especies individuales o variedades de flores cortadas frescas"
"10326100",1,1,"","10326100 - Sello de salomón (polygonato) cortada fresca","Sello de salomón (polygonato) cortada fresca"
"10326200",1,1,"","10326200 - Tanaceto cortado fresco","Tanaceto cortado fresco"
"10326300",1,1,"","10326300 - Traquelio cortado fresco","Traquelio cortado fresco"
"10326400",1,1,"","10326400 - Tuberosas cortadas frescas","Tuberosas cortadas frescas"
"10326500",1,1,"","10326500 - Tweedias cortadas frescas","Tweedias cortadas frescas"
"10326600",1,1,"","10326600 - Verónicas cortadas frescas","Verónicas cortadas frescas"
"10326700",1,1,"","10326700 - Watsonias cortadas frescas","Watsonias cortadas frescas"
"10331500",1,1,"","10331500 - Crisantemo cortado fresco pompón","Crisantemo cortado fresco pompón"
"10331600",1,1,"","10331600 - Crisantemo cortado fresco pompón margarita","Crisantemo cortado fresco pompón margarita"
"10331700",1,1,"","10331700 - Crisantemo cortado fresco espollado cremon","Crisantemo cortado fresco espollado cremon"
"10331800",1,1,"","10331800 - Crisantemo cortado fresco espollado football","Crisantemo cortado fresco espollado football"
"10331900",1,1,"","10331900 - Crisantemo spider cortado fresco","Crisantemo spider cortado fresco"
"10332000",1,1,"","10332000 - Crisantemo cortado fresco  novelty","Crisantemo cortado fresco  novelty"
"10332100",1,1,"","10332100 - Crisantemo cortado fresco santini","Crisantemo cortado fresco santini"
"10341500",1,1,"","10341500 - Bouquet cortado fresco de rosa","Bouquet cortado fresco de rosa"
"10341600",1,1,"","10341600 - Bouquet cortado fresco de clavel","Bouquet cortado fresco de clavel"
"10341700",1,1,"","10341700 - Bouquet cortado fresco de mini clavel","Bouquet cortado fresco de mini clavel"
"10341800",1,1,"","10341800 - Bouquet cortado fresco de lirio","Bouquet cortado fresco de lirio"
"10341900",1,1,"","10341900 - Bouquet cortado fresco de crisantemo pompón","Bouquet cortado fresco de crisantemo pompón"
"10342000",1,1,"","10342000 - Bouquet cortado fresco de astromelia","Bouquet cortado fresco de astromelia"
"10342100",1,1,"","10342100 - Bouquet cortado fresco de flores tropicales","Bouquet cortado fresco de flores tropicales"
"10342200",1,1,"","10342200 - Bouquet cortado fresco floral mixto","Bouquet cortado fresco floral mixto"
"10351500",1,1,"","10351500 - Bouquet cortado fresco de clavel de floración sencilla","Bouquet cortado fresco de clavel de floración sencilla"
